GOOG,16-10-2023,139.73,140.03,139.32,140.01,857664
GOOG,16-10-2023,140,140.26,139.75,139.99,479329
GOOG,16-10-2023,140,140.24,139.46,139.65,375720
GOOG,16-10-2023,139.65,139.73,139.39,139.46,251578
GOOG,16-10-2023,139.47,139.86,139.42,139.73,251553
GOOG,16-10-2023,139.73,140.09,139.61,140.04,241550
GOOG,16-10-2023,140.04,140.15,139.8,139.89,194003
GOOG,16-10-2023,139.91,140.42,139.9,140.13,252208
GOOG,16-10-2023,140.13,140.31,140.01,140.27,202794
GOOG,16-10-2023,140.3,140.51,140.17,140.44,237343
GOOG,16-10-2023,140.45,140.73,140.38,140.6,204981
GOOG,16-10-2023,140.57,140.78,140.54,140.63,386375
GOOG,16-10-2023,140.64,140.9,140.49,140.54,252197
GOOG,16-10-2023,140.55,140.59,140.38,140.4,185562
GOOG,16-10-2023,140.41,140.57,140.34,140.55,160035
GOOG,16-10-2023,140.54,140.6,140.36,140.44,159683
GOOG,16-10-2023,140.44,140.57,140.4,140.46,124028
GOOG,16-10-2023,0,0,0,0,0
GOOG,16-10-2023,140.11,140.12,140.06,140.12,364230
GOOG,16-10-2023,140.14,140.37,140.09,140.31,176315
GOOG,16-10-2023,140.32,140.32,140.01,140.13,172135
GOOG,16-10-2023,140.14,140.24,139.94,139.94,145360
GOOG,16-10-2023,139.93,140.04,139.89,139.99,120663
GOOG,16-10-2023,139.99,140.25,139.93,140.24,117693
GOOG,16-10-2023,140.23,140.35,140.18,140.32,138005
GOOG,16-10-2023,140.32,140.38,139.99,139.99,119232
GOOG,16-10-2023,139.99,140.09,139.83,139.98,126334
GOOG,16-10-2023,139.98,140.13,139.85,140.13,100304
GOOG,16-10-2023,140.13,140.24,140.07,140.09,187335
GOOG,16-10-2023,140.07,140.12,139.81,139.84,185153
GOOG,16-10-2023,139.85,139.87,139.65,139.76,211275
GOOG,16-10-2023,139.76,139.91,139.71,139.85,109397
GOOG,16-10-2023,139.86,139.87,139.7,139.72,88168
GOOG,16-10-2023,139.73,139.84,139.73,139.79,78685
GOOG,16-10-2023,139.79,139.99,139.77,139.98,104926
GOOG,16-10-2023,139.98,140.11,139.89,140.07,100065
GOOG,16-10-2023,140.08,140.15,139.95,139.98,122024
GOOG,16-10-2023,139.98,140.04,139.87,140.01,82797
GOOG,16-10-2023,140.01,140.08,139.96,140.07,77207
GOOG,16-10-2023,140.08,140.13,139.99,140.03,92784
GOOG,16-10-2023,140.06,140.15,140.02,140.12,97528
GOOG,16-10-2023,140.12,140.12,139.93,140.1,116978
GOOG,16-10-2023,140.11,140.4,140.1,140.39,148839
GOOG,16-10-2023,140.4,140.42,140.28,140.36,78222
GOOG,16-10-2023,140.37,140.49,140.3,140.38,153583
